age,education,n_score,e_score,o_score,a_score,c_score,impulsive_bis11,sensation_seeking_impss,gender_Female,gender_Male,country_Australia,country_Canada,country_New Zealand,country_Other,country_Republic of Ireland,country_UK,country_USA,ethnicity_Asian,ethnicity_Black,ethnicity_Mixed-Black/Asian,ethnicity_Mixed-White/Asian,ethnicity_Mixed-White/Black,ethnicity_Other,ethnicity_White,depressants_pca,opioids_pca,stimulants_pca,psychedelics_pca,inhalants_pca,dissociatives,cannabinoids,empathogens
2.0,5.0,0.3374406901612729,-0.5264414232032569,-0.5695069807205514,-0.9116806375729665,0.08092379749059905,-0.2331637652648516,-1.2200148674251432,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.06858041592308019,-0.34302302469216817,-0.8022179079214304,-0.5171922634453122,-0.2880763698763967,-0.30898391288653637,-0.8165820458668636,-0.48407239984262856
1.0,8.0,-0.7572295058855798,1.8368005531256224,1.4075224454513344,0.7984556506044704,-0.06264327991001943,-0.7511879304735577,-0.2166130941578438,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.064623228184048,0.18062853956804412,-0.3567988931654428,-0.223392144497367,-0.11898119436016834,0.22785299345844548,-0.22909118111034638,1.1542324946842626
2.0,5.0,-0.5382954666762093,0.8028821884817378,-0.8736653539777646,-1.689015314017256,-1.0676128217143488,-1.4520731373655003,0.42511946603216455,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-1.4725951904221808,-0.34302302469216694,-0.9237554402701039,-0.45614019846416193,-0.28807636987638924,-0.30898391288653637,-0.5424196423138222,-0.48407239984262856
0.0,7.0,-0.20989440786215344,-0.8218466702443669,0.038809765793875003,0.6429887153156125,0.655192107093073,-1.4520731373655003,-1.2200148674251432,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.8424658755449334,-0.34302302469216694,-0.808548860685324,-0.5171922634453158,-0.28807636987638924,0.22785299345844548,-0.6990838729155602,-0.48407239984262856
2.0,8.0,0.7753087685800141,-1.7080624113676968,-0.4174277940919448,-0.2898128964175349,1.229460416695547,-0.2331637652648516,-0.2166130941578438,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.8332324374871631,-0.34302302469216694,-0.8126014645306116,-0.33403606850185436,-0.231711311370982,-0.30898391288653637,-0.5424196423138222,-0.37485207354083583
5.0,3.0,-0.7572295058855798,-0.23103617616214703,-1.6340612871207976,1.8867241976264757,1.516594571496784,-1.4520731373655003,-1.6023532691299756,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.4096893444644993,-0.34302302469216694,1.301450705862891,-0.5171922634453158,-0.28807636987638924,-0.30898391288653637,-0.8165820458668636,-0.48407239984262856
3.0,7.0,-0.5382954666762093,-1.117251917285477,-0.4174277940919448,-0.2898128964175349,0.9423262618943099,-0.2331637652648516,0.09074231540321168,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,-1.4725951904221808,-0.34302302469216694,1.301450705862891,-0.5171922634453158,-0.28807636987638924,-0.30898391288653637,-0.7774159882164291,-0.48407239984262856
2.0,1.0,-1.3045646039090062,1.8368005531256224,-0.8736653539777646,-0.2898128964175349,1.516594571496784,0.1964438416937588,-0.5391065010235775,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.06462322818404856,-0.34302302469216694,-0.9237554402701039,-0.5171922634453158,-0.28807636987638924,-0.30898391288653637,-0.8165820458668636,-0.48407239984262856
2.0,5.0,0.6658417489753288,2.2799084236872873,-1.0257445406063712,0.7984556506044704,1.0858933392949284,-1.4520731373655003,-1.6023532691299756,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.8332324374871631,-0.34302302469216694,1.301450705862891,-0.5171922634453158,-0.28807636987638924,-0.30898391288653637,-0.8165820458668636,-0.48407239984262856
4.0,7.0,-0.3193614274668387,0.0643690708789629,-1.481982100492191,0.6429887153156125,0.22449087489121752,-1.4520731373655003,-0.8722672054405473,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-1.471276127842499,-0.34302302469216694,1.3066424841674789,-0.5171922634453158,-0.28807636987638924,-0.30898391288653637,-0.7774159882164291,-0.48407239984262856
1.0,6.0,-1.0856305646996356,0.8028821884817378,-1.1778237272349779,-0.7562137022841086,1.6601616488974023,0.1964438416937588,0.09074231540321168,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.06462322818404856,-0.34302302469216694,-0.808548860685324,-0.5171922634453158,-0.04061816972213093,-0.30898391288653637,-0.6990838729155602,-0.48407239984262856
3.0,4.0,-1.3045646039090062,0.0643690708789629,0.1908889524224816,-1.9999491845949717,-0.49334451211187486,0.5498060575979531,1.2810193383643886,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.06462322818404856,-0.34302302469216694,1.3158868663173542,-0.2361026955192048,-0.28807636987638924,-0.30898391288653637,-0.22909118111034638,0.2804698842699206
4.0,6.0,2.1983800234409228,0.21207169439951787,0.4950473256796948,-1.689015314017256,-0.7804786669131119,1.3491194202179193,0.09074231540321168,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.08440916687927072,-0.2682156583692797,1.3097239448841038,-0.3582068254815124,-0.28807636987638924,-0.30898391288653637,-0.5424196423138222,-0.48407239984262856
4.0,5.0,-0.8666965254902651,0.8028821884817378,0.038809765793875003,0.9539225858933283,2.521564113301113,-0.7511879304735577,-0.8722672054405473,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.5057654956273887,-0.34302302469216694,-0.8884347077918021,-0.5171922634453158,-0.28807636987638924,-0.30898391288653637,-0.8165820458668636,-0.48407239984262856
